,,shift,3.098903515,TCTemp3
0,19.85186038,20.17090785,19.80109649,22.9
0.14,19.85430289,20.1748898,19.85298519,22.95188871
0.23,19.8499241,20.16565127,19.97480892,23.07371244
0.329,19.86246747,20.1766431,19.97481067,23.07371418
0.429,19.87353196,20.14224897,19.94510572,23.04400923
0.529,19.82737177,20.17815087,19.91677715,23.01568066
0.63,19.84136889,20.20218566,19.89979725,22.99870077
0.729,19.85021043,20.15840161,19.88106597,22.97996948
0.829,19.84062327,20.20149634,19.95712419,23.0560277
0.93,19.82675975,20.19500239,19.97311458,23.0720181
1.016,19.83799131,20.22040637,19.89452546,22.99342897
1.115,19.85467267,20.18823951,19.90764586,23.00654937
1.216,19.84435263,20.16857699,19.91525135,23.01415486
1.324,19.8609312,20.24043872,19.87540023,22.97430374
1.417,19.85411552,20.18958977,19.98994064,23.08884415
1.517,19.86611256,20.21552326,19.91549025,23.01439376
1.615,19.85967696,20.22926921,19.87531687,22.97422039
1.716,19.87235235,20.21795472,19.93223045,23.03113396
1.816,19.84794236,20.21120731,19.97144922,23.07035274
1.916,19.87009579,20.21832576,19.87530605,22.97420957
2.016,19.86841229,20.21381283,19.88002747,22.97893099
2.116,19.88846639,20.24560537,19.94231507,23.04121859
0,19.90885973,20.20288401,21.45246157,24.55136508
0.118,19.8772925,19.98540795,20.21107355,23.30997707
0.216,20.05460038,20.47124267,20.67449271,23.77339623
0.32,19.83418018,20.21364441,21.58363945,24.68254297
0.416,19.83877461,20.00362462,19.03702774,22.13593125
0.516,20.05402003,20.43603096,20.15873368,23.2576372
0.616,19.97992004,20.36453756,22.00909286,25.10799637
0.718,19.94753935,20.31252682,20.66290588,23.7618094
0.816,19.89181284,20.10497479,19.91784779,23.01675131
0.918,19.89739984,19.87919029,19.38732431,22.48622782
1.017,20.03181249,20.36583931,20.99064104,24.08954455
1.121,19.85660005,20.52808528,21.87815321,24.97705672
1.216,19.84279395,20.04853546,20.0882128,23.18711632
1.316,19.92947637,19.99102776,20.33444818,23.4333517
1.418,19.92168434,20.14065463,20.89110895,23.99001247
1.517,19.87278422,19.93488832,20.70410486,23.80300838
1.618,19.88432743,19.89709846,20.74243022,23.84133374
1.716,19.88883582,20.11539903,20.77271589,23.8716194
1.819,19.93166476,20.30336441,20.59244969,23.6913532
1.916,19.90809326,20.2009255,20.66733454,23.76623805
2.015,19.73585325,19.92872621,20.06264234,23.16154585
2.118,19.7791101,20.07670644,19.44518995,22.54409347
2.217,19.91909608,20.29079736,20.96780946,24.06671298
2.316,19.8364158,20.17428838,21.70237118,24.8012747
2.417,19.75616771,20.13106756,20.97929324,24.07819676
2.516,19.75318508,20.17880016,21.05753515,24.15643867
2.617,19.80861252,20.17810737,21.14123808,24.2401416
2.716,19.81095581,20.20873007,21.36466144,24.46356496
2.816,19.79807533,20.10023052,21.45335516,24.55225868
2.919,19.8795747,20.03633138,21.58155715,24.68046067
3.017,19.88887386,20.4258992,21.9189536,25.01785712
3.115,19.80202944,20.31529019,21.04522558,24.14412909
