,,shift,3.855543113,TCTemp3
0,19.70892628,20.05333109,20.44445689,24.3
0.132,19.72637353,19.98596341,21.1487687,25.00431181
0.267,19.64570999,19.99420396,19.44223922,23.29778234
0.356,19.59207027,19.84569858,18.99107417,22.84661729
0.462,19.66664265,19.81316715,19.65821488,23.51375799
0.553,19.69962342,20.24551902,20.59477753,24.45032064
0.622,19.59059147,20.38501472,20.29846435,24.15400747
0.711,19.63312787,19.71271082,19.26261558,23.11815869
0.81,19.69674557,19.88151795,20.11505216,23.97059528
0.91,19.64528517,20.16747965,20.3211033,24.17664641
1.005,19.66781995,19.97453898,19.82100187,23.67654498
1.106,19.66610408,20.03080896,20.02319856,23.87874168
1.205,19.68247604,20.01353796,19.86831725,23.72386036
1.306,19.75329413,20.24474467,20.18916231,24.04470542
1.405,19.60183523,19.81754343,20.03329384,23.88883695
1.506,19.54450089,19.77353133,18.86259097,22.71813409
1.605,19.78792354,20.29717007,20.07726258,23.93280569
1.705,19.69567496,20.03848357,21.69090728,25.54645039
1.806,19.61786082,19.82614182,20.38816292,24.24370603
1.907,19.57815913,19.98497089,19.44637264,23.30191575
2.005,19.67005076,20.04037842,19.87977601,23.73531912
2.106,19.75309946,20.02966342,20.50943361,24.36497672
2.205,19.74039571,19.95389674,20.66068537,24.51622848
2.305,19.72825486,19.78263387,20.0127933,23.86833641
2.405,19.71181698,20.03543796,19.83241056,23.68795367
2.506,19.63360451,20.22582619,19.37598548,23.2315286
2.607,19.69006383,19.87213551,19.24046752,23.09601064
2.705,19.74155963,19.93726333,20.33613254,24.19167565
2.806,19.71173179,20.29017078,20.63545691,24.49100003
2.905,19.70783075,20.32483022,19.98877685,23.84431997
3.006,19.66410856,19.94602342,19.80681073,23.66235385
3.106,19.65540268,19.68258107,19.94117753,23.79672065
3.205,19.73263141,19.94874947,20.4124279,24.26797102
3.305,19.69814344,20.12549745,21.07666928,24.93221239
3.406,19.63290721,20.01650721,19.6506901,23.50623322
3.506,19.72788227,19.91097317,19.1786127,23.03415581
3.605,19.77133599,19.74113595,20.73135719,24.5869003
3.706,19.72161339,19.76854575,20.14382838,23.99937149
3.806,19.65496971,19.99304181,19.18058075,23.03612386
3.906,19.73079124,20.06937696,19.47295639,23.3284995
4.005,19.76747067,20.06200328,20.30178252,24.15732563
4.106,19.68445773,20.04670643,20.19558279,24.0511259
4.206,19.62194583,19.74059187,19.11801968,22.97356279
4.305,19.65730465,19.87017162,19.34608111,23.20162422
4.406,19.70289122,20.21105585,20.11426137,23.96980448
4.506,19.67991227,19.8880062,20.54525698,24.4008001
4.605,19.62915201,19.67429968,20.51333745,24.36888057
4.706,19.58887525,19.88599105,19.68074427,23.53628739
4.805,19.64314257,20.07632154,19.54821877,23.40376188
4.905,19.71111866,19.9740378,20.45669385,24.31223696
5.006,19.60169379,19.8326238,20.55377542,24.40931853
5.105,19.66028613,20.00649387,20.08004379,23.93558691
5.206,19.68570961,20.02857793,20.90867369,24.7642168
5.306,19.59145425,19.82726129,19.9937304,23.84927351
5.405,19.59450682,19.83485408,19.37099047,23.22653359
5.506,19.65759694,19.98713217,20.88940357,24.74494668
5.606,19.67796207,20.15041396,21.34449246,25.20003558
5.706,19.63429844,20.1625226,20.34903789,24.204581
5.805,19.62530019,19.77732441,19.66876814,23.52431125
5.906,19.67542656,19.78838752,20.42267102,24.27821414
6.007,19.66208548,20.29668442,20.79676537,24.65230848
6.106,19.63630958,20.20286896,20.07832276,23.93386587
6.205,19.67747602,20.07044576,20.08674208,23.94228519
6.306,19.66458628,20.22952974,20.504908,24.36045112
6.407,19.65199673,20.12558515,20.256753,24.11229611
6.505,19.66146068,19.94714808,20.31379693,24.16934004
6.606,19.63586553,19.9753905,20.28967912,24.14522224
6.706,19.75584546,20.16622038,20.64852446,24.50406757
6.806,19.83104394,20.09919266,21.7907839,25.64632701
6.905,19.65375996,19.88704356,20.86972431,24.72526742
7.005,19.66510575,20.05823286,18.72279309,22.5783362
7.107,19.79676451,20.12161708,19.8929844,23.74852751
7.205,19.84710688,19.99889249,20.80789329,24.6634364
7.305,19.7853465,19.97792589,19.994223,23.84976611
7.406,19.70322362,19.98350431,19.27397155,23.12951466
7.506,19.71568078,20.00513924,19.27514011,23.13068323
7.67,19.69491678,20.1943796,19.74127559,23.5968187
7.706,19.71194543,19.94377529,19.56739134,23.42293445
7.806,19.78185203,19.7997644,20.20001157,24.05555468
7.906,19.7183179,20.30262917,20.72302844,24.57857155
8.006,19.69290455,20.13013277,19.87135564,23.72689876
8.106,19.69387306,19.62469621,19.50278,23.35832311
8.206,19.72941725,19.64668143,20.13418677,23.98972989
8.306,19.72456574,20.04011852,20.26979254,24.12533566
8.405,19.75697634,20.20108352,20.04801725,23.90356036
8.505,19.64193841,19.84044056,19.62371001,23.47925312
8.606,19.6561078,19.77846392,19.21862012,23.07416323
8.705,19.74180627,19.79434219,20.56476573,24.42030884
8.806,19.63754849,19.8020293,20.81943614,24.67497925
8.905,19.60275404,20.01379021,19.38112398,23.2366671
9.007,19.70445889,20.065717,20.17112576,24.02666888
9.173,19.71387677,19.9120662,21.10735197,24.96289508
9.244,19.63786526,19.87532063,20.51436229,24.3699054
9.305,19.53580019,19.86808746,19.25102786,23.10657097
9.405,19.67179007,19.79692971,19.3240442,23.17958731
9.506,19.72304969,20.14351164,20.99579471,24.85133782
9.605,19.63625728,20.04723422,21.08255302,24.93809613
9.707,19.59164789,19.743713,19.91633804,23.77188115
9.806,19.62061856,20.11433826,19.88056838,23.73611149
9.905,19.62695627,20.2122023,20.33046132,24.18600443
10.005,19.6514772,20.06109132,20.87424526,24.72978837
10.107,19.6571519,19.92689888,21.00922491,24.86476802
10.205,19.61966075,19.98192273,20.61215146,24.46769458
10.323,19.71265495,20.12652215,20.92325164,24.77879476
10.49,19.61084957,19.77260925,20.67431449,24.52985761
10.545,19.67816664,19.80519293,19.11262413,22.96816724
10.623,19.75479783,20.256948,20.9132508,24.76879391
10.723,19.67411715,20.16887199,20.98569866,24.84124178
10.824,19.67059777,20.02188634,19.24636876,23.10191188
10.906,19.66728018,19.88985954,19.31032279,23.1658659
11.005,19.73294448,19.93026492,20.26770592,24.12324903
11.106,19.71518799,20.33837431,20.81423817,24.66978128
11.207,19.70876293,20.3229812,20.02016666,23.87570977
11.305,19.74182387,19.90753378,19.80140307,23.65694618
11.405,19.70212629,20.00311665,20.60804227,24.46358538
11.506,19.65328762,19.99359216,20.29259557,24.14813868
11.607,19.65530506,19.81381491,19.96864412,23.82418723
11.705,19.72805637,19.91802833,20.45626329,24.3118064
11.806,19.79558805,20.04043466,20.77668649,24.6322296
11.906,19.79782957,20.05173027,20.85036414,24.70590725
12.007,19.66359815,19.89357312,20.04934036,23.90488347
12.105,19.60876636,19.93410773,18.64383037,22.49937348
12.206,19.81428952,20.10948752,19.57436694,23.42991006
12.306,19.77391437,19.94163418,21.60012788,25.45567099
12.406,19.65845795,19.92057683,20.17465755,24.03020066
12.505,19.65321546,20.03278839,19.46460426,23.32014737
12.669,19.68695117,19.98920717,20.16853736,24.02408047
12.706,19.73793971,19.98458543,20.3300676,24.18561071
12.806,19.69969083,19.96674415,20.23941852,24.09496163
12.905,19.71674576,19.90058054,20.42383242,24.27937553
13.006,19.69390041,20.23263371,20.71907116,24.57461427
13.107,19.64188583,20.17284559,20.07847682,23.93401993
13.205,19.70164532,19.62821572,19.856506,23.71204911
13.306,19.74030268,19.85369403,20.64780659,24.5033497
13.405,19.66902815,20.3263908,20.55126783,24.40681095
13.505,19.68803121,20.19578852,20.02842934,23.88397245
13.606,19.68310636,19.8010552,20.18942219,24.0449653
13.705,19.62304362,19.71829975,20.3884892,24.24403231
13.806,19.71869832,19.90923622,20.7325794,24.58812252
13.906,19.69465537,19.95551228,21.09613662,24.95167974
14.005,19.66317238,20.04914541,19.78967427,23.64521739
14.106,19.77065475,20.09950444,19.77545071,23.63099382
14.206,19.76491067,19.90074375,20.96832229,24.82386541
14.306,19.63066646,19.84789312,19.68689499,23.54243811
14.405,19.61812701,20.03229249,18.57664798,22.43219109
14.506,19.72819313,20.01157421,19.78551269,23.6410558
14.606,19.70801181,20.02938007,21.29696949,25.15251261
14.77,19.6352735,20.07938164,20.84066491,24.69620803
14.805,19.60775986,19.81472191,19.46106319,23.31660631
14.907,19.63288094,19.93745205,19.95770951,23.81325262
15.005,19.63285717,20.15564471,20.73557806,24.59112117
15.105,19.67633265,19.81954132,20.88902503,24.74456814
15.206,19.68870936,19.75838905,21.02315912,24.87870224
15.306,19.6358095,19.95560916,20.4684213,24.32396441
15.405,19.65610894,19.99240413,19.82493582,23.68047894
15.506,19.6960112,19.7940679,20.09394339,23.9494865
15.606,19.60806882,19.78880596,20.07221086,23.92775397
15.706,19.64960498,20.22417258,20.14832382,24.00386693
15.805,19.66835356,20.17877934,21.0283344,24.88387752
15.906,19.61727085,19.85178617,20.19258995,24.04813306
16.005,19.62561609,19.87974233,19.8836551,23.73919822
16.106,19.66348927,20.04517216,21.19974453,25.05528764
16.206,19.66603023,20.2202523,21.2625146,25.11805771
16.305,19.64605939,20.22702909,20.38806073,24.24360385
16.406,19.69428801,19.91712782,20.03645737,23.89200049
16.506,19.68433672,19.83699152,20.73234199,24.5878851
16.605,19.60632794,20.16703581,20.78195021,24.63749332
16.706,19.63660567,20.02464457,20.12284858,23.97839169
16.806,19.77944869,20.00701654,20.77841251,24.63395563
16.906,19.74658968,20.19647413,21.40134912,25.25689223
17.006,19.66260712,20.11544529,20.71037003,24.56591314
17.105,19.65410935,20.00966893,19.80348449,23.6590276
17.206,19.65990456,20.00971973,19.84009311,23.69563622
17.306,19.80749901,20.11766983,20.71172105,24.56726416
17.405,19.85465826,20.02012987,21.73142181,25.58696492
17.507,19.73843035,19.92007822,20.36386187,24.21940498
17.606,19.71057353,20.06838602,18.77812845,22.63367156
17.706,19.78324982,20.03428278,19.99903345,23.85457656
17.805,19.81949529,19.91654666,20.27110231,24.12664543
17.906,19.78038143,20.02162671,19.67834226,23.53388537
18.006,19.7313123,20.19642348,20.07200668,23.92754979
18.105,19.7557194,20.13564465,20.2796603,24.13520341
18.206,19.75940855,20.06899754,20.26556313,24.12110625
18.307,19.72745848,19.6640472,19.85218997,23.70773308
18.406,19.75368495,19.79989207,20.29255611,24.14809922
18.505,19.70799326,20.297941,20.75326486,24.60880797
18.606,19.73026338,19.80001521,19.74117663,23.59671975
18.707,19.7433429,19.63514984,20.07734944,23.93289255
18.805,19.68200344,19.72720115,20.68253659,24.5380797
18.906,19.72806026,19.79771014,20.10020571,23.95574882
19.007,19.81219,20.042522,20.18167316,24.03721628
19.106,19.71418461,19.93481269,20.07902742,23.93457053
19.206,19.73463387,20.03717687,19.47765192,23.33319503
19.306,19.64622299,19.84259827,20.70577925,24.56132236
19.466,19.58278473,19.76931831,19.62882685,23.48436996
19.508,19.66655022,20.16182322,19.26447692,23.12002003
19.689,19.64601475,19.95347896,21.55971416,25.41525728
19.731,19.6705603,19.79985548,21.32510825,25.18065137
19.806,19.67715057,20.03670807,20.74599101,24.60153413
19.906,19.60130105,19.93413361,19.91177749,23.7673206
20.005,19.68928539,19.80699664,20.3908662,24.24640931
20.105,19.6668362,20.20221551,21.60195472,25.45749783
20.269,19.69190619,19.99821217,20.73047864,24.58602175
20.305,19.73102873,19.91811952,20.79802018,24.65356329
20.405,19.62970893,20.1801374,21.07948941,24.93503252
20.508,19.65734067,19.92949487,20.01803603,23.87357914
20.607,19.73067531,19.89332618,20.23937587,24.09491899
20.705,19.65917415,20.06832408,21.0185293,24.87407242
20.806,19.67223,20.23419351,20.79811197,24.65365508
20.907,19.78779586,20.14209431,20.9503226,24.80586572
21.005,19.69163692,19.80364977,21.06587103,24.92141414
21.106,19.68897229,19.95663035,19.79768604,23.65322915
21.205,19.75808909,20.23786058,20.69838512,24.55392824
21.307,19.76059507,20.21177012,21.04646448,24.90200759
21.434,19.73861291,20.16707463,19.79649666,23.65203977
21.505,19.69302414,20.03060677,19.84263868,23.69818179
21.606,19.70365528,19.88491464,20.49728175,24.35282486
21.707,19.71275359,20.1433032,20.88965187,24.74519498
21.805,19.73899604,20.13618136,20.37491968,24.23046279
21.906,19.82168978,19.85400651,20.7358513,24.59139441
22.007,19.75298865,20.01614237,21.5638021,25.41934522
22.105,19.69489826,20.03892079,20.38272463,24.23826775
22.206,19.71501827,19.83240877,19.43960243,23.29514555
22.305,19.77503468,19.90049748,20.39209763,24.24764074
22.406,19.81738438,20.0042113,21.02914582,24.88468893
22.506,19.8477985,20.03518501,20.72008487,24.57562799
22.606,19.7318764,19.91595974,19.94389991,23.79944302
22.706,19.60500321,19.95082874,18.94976177,22.80530489
22.806,19.76697974,20.0326749,19.88206568,23.73760879
22.906,19.71420131,19.89503439,21.29424604,25.14978915
23.006,19.67072178,20.02905308,20.45101151,24.30655463
23.107,19.67205199,20.20402159,20.50262688,24.35816999
23.206,19.6835854,19.99534047,21.07444938,24.92999249
23.306,19.72504861,19.75315399,20.86473242,24.72027553
23.405,19.65140268,19.79798719,20.53501694,24.39056005
23.506,19.67403245,19.8889695,20.55791961,24.41346273
23.607,19.68891558,20.15749296,20.87507137,24.73061448
23.705,19.65478907,20.0440416,20.41951867,24.27506179
23.806,19.68877647,19.5866239,20.47178498,24.3273281
23.907,19.67677861,19.83459821,21.01447115,24.87001427
24.006,19.66572505,20.1646753,20.6682323,24.52377541
24.105,19.73044405,20.15706903,20.40725539,24.2627985
24.206,19.72136186,19.96797128,20.8012586,24.65680171
24.307,19.64684753,19.8862219,20.72988181,24.58542492
24.405,19.68963331,20.03918048,20.59999811,24.45554123
24.506,19.65090333,19.98896423,20.64463525,24.50017836
24.606,19.6554137,20.02830535,19.95035642,23.80589953
24.707,19.72711462,20.01432005,21.01957234,24.87511546
24.805,19.71781496,19.91240184,21.93002221,25.78556533
24.906,19.62452141,19.93864794,20.03568747,23.89123058
25.007,19.58276627,20.05836551,19.34891815,23.20446126
25.105,19.64962809,20.01254289,20.69932464,24.55486775
25.206,19.71124982,20.05698177,21.69703286,25.55257597
25.305,19.66700146,20.18775946,21.46158324,25.31712635
25.406,19.64292148,19.78947239,20.47639713,24.33194024
25.57,19.64370772,19.91412225,20.63135835,24.48690146
25.605,19.63910052,19.99230775,20.56291553,24.41845864
25.706,19.67259057,19.78261825,20.76018844,24.61573155
25.806,19.66601906,19.9726741,21.18198492,25.03752804
25.906,19.65264727,20.10146673,20.78430362,24.63984674
26.005,19.70330199,20.03657694,20.3201858,24.17572892
26.106,19.66851521,19.83211791,20.70940532,24.56494844
26.207,19.58681121,19.94548314,20.4116489,24.26719201
26.305,19.64533762,20.27548948,20.38664718,24.24219029
26.406,19.69217192,20.20466353,21.41869792,25.27424104
26.507,19.62877649,20.02278128,20.63168519,24.48722831
26.605,19.62599117,19.98965683,20.41199491,24.26753803
26.706,19.61031829,19.95036746,21.50164572,25.35718883
26.805,19.69876651,20.04203076,21.48347709,25.33902021
26.907,19.70727248,20.13512416,21.12072502,24.97626813
27.005,19.72212902,19.8680543,21.23047267,25.08601579
27.106,19.68685332,19.93267253,21.498587,25.35413011
27.207,19.62105236,20.25080855,20.41110622,24.26664933
27.306,19.69288654,20.00113698,19.90382144,23.75936455
27.406,19.76346849,19.9881972,21.14581234,25.00135546
27.505,19.75199222,20.19416478,21.52947604,25.38501915
27.607,19.70105003,20.16300867,20.60456314,24.46010625
27.706,19.66365383,20.0365643,20.08772595,23.94326907
27.806,19.59785704,19.94996112,20.03569724,23.89124035
27.905,19.70813831,20.05433915,20.46650571,24.32204882
28.006,19.79081966,20.0777052,21.77705392,25.63259703
28.106,19.62600152,20.12466464,20.99413636,24.84967948
28.205,19.67364977,20.21954602,19.94033519,23.79587831
28.306,19.76321471,19.88154241,20.88181285,24.73735596
28.407,19.7443143,19.75983831,20.66020712,24.51575023
28.505,19.68464603,20.04842107,20.10882442,23.96436753
28.605,19.6619885,20.14115405,20.2586394,24.11418251
28.706,19.69275519,20.05573538,20.66298272,24.51852583
28.807,19.70432462,20.0052765,20.82375029,24.67929341
28.906,19.67234667,19.68805872,20.41321165,24.26875476
29.006,19.69970291,19.65558023,20.66789261,24.52343573
29.106,19.64840812,20.17294606,20.86207299,24.7176161
29.206,19.67771072,20.02195327,20.35415424,24.20969735
29.306,19.71518829,19.75092069,20.6864727,24.54201582
29.405,19.59232916,19.77603801,20.65353923,24.50908234
29.507,19.62842613,20.00138958,19.90944034,23.76498345
29.605,19.65635488,20.06409435,20.08294062,23.93848373
29.705,19.58579662,19.88564713,20.65160724,24.50715035
29.806,19.59324019,19.93488615,20.78732564,24.64286876
29.907,19.60736727,19.96132392,21.40220409,25.2577472
30.005,19.47804571,19.93925209,20.49869816,24.35424128
30.105,19.54539877,20.07014513,20.02879669,23.8843398
30.206,19.62830061,20.02090623,21.83454777,25.69009088
30.306,19.70624658,19.93858328,22.59498688,26.45053
30.405,19.59087609,20.06381247,21.68817939,25.5437225
30.505,19.54439429,19.9129584,20.52065064,24.37619375
30.607,19.62648079,19.69798643,20.46951488,24.32505799
30.705,19.63260533,20.06563146,21.21303093,25.06857404
30.806,19.57810485,20.07796978,21.00334772,24.85889083
30.906,19.58901858,20.11646623,21.04830797,24.90385108
31.007,19.61921579,20.24207553,21.01447059,24.87001371
31.106,19.63755622,20.02793951,20.59171129,24.4472544
31.205,19.64493215,20.14340284,21.13514852,24.99069163
31.306,19.58307066,20.12799764,21.23005253,25.08559565
31.406,19.61245251,20.23893131,20.66645867,24.52200179
31.505,19.76695588,20.29966496,21.54771554,25.40325865
31.605,19.61796051,20.05851777,21.45675134,25.31229445
31.707,19.6055582,19.97539643,19.98403784,23.83958095
31.806,19.64485744,19.98801443,21.24758346,25.10312657
31.906,19.75542789,20.07935998,20.9936641,24.84920721
32.006,19.77648371,20.22384551,21.11644835,24.97199146
32.107,19.62784646,19.92347221,21.18297682,25.03851994
32.205,19.66472643,19.96475092,20.0359622,23.89150531
32.305,19.71388408,20.39634451,20.71698107,24.57252419
32.405,19.67627646,19.98831609,20.62097348,24.47651659
32.507,19.72331666,19.70835503,20.94691122,24.80245433
32.605,19.71620317,20.18034876,21.1432941,24.99883721
32.705,19.65344894,20.06160481,20.04089373,23.89643684
32.807,19.64148382,19.83977732,19.76889759,23.6244407
32.907,19.65327958,19.81526278,20.25021293,24.10575604
33.005,19.72986206,20.00814046,20.68028444,24.53582755
33.171,19.73855457,20.16954559,21.18604126,25.04158438
33.206,19.61880893,20.05901634,20.80356403,24.65910714
33.306,19.59606171,19.97126508,19.57365952,23.42920263
33.406,19.68612899,19.84076366,20.77110132,24.62664444
33.505,19.66939429,19.77646062,21.67899304,25.53453615
33.606,19.57496742,20.09269266,20.48130234,24.33684546
33.705,19.58208327,20.12659822,20.70084817,24.55639128
33.806,19.67918875,19.86786112,21.50980941,25.36535253
33.906,19.63600019,19.74854471,21.46815265,25.32369577
34.006,19.58457152,19.76768603,20.84536406,24.70090717
34.105,19.64053879,19.79271764,20.76814171,24.62368482
34.205,19.69676984,20.25433051,21.23232674,25.08786986
34.306,19.66384065,20.18663943,20.87399399,24.7295371
34.406,19.64166419,19.77710303,20.82137127,24.67691438
