,,shift,0.71528,TCTemp3
0,20.02504334,20.08676628,22.28472,23.00000 
0.132,20.08392185,19.99906044,22.70504,23.42032 
0.212,20.03133371,20.32772871,23.46601,24.18129 
0.312,20.07784227,20.56071249,22.97726,23.69254 
0.412,20.09471123,20.41652153,22.47735,23.19263 
0.512,20.0036222,20.04743836,22.46518,23.18045 
0.622,20.01821579,20.26931806,22.30945,23.02473 
0.712,20.09552134,20.581938,23.33196,24.04724 
0.812,20.00923871,20.49918388,23.51350,24.22878 
0.912,19.9927584,20.42004598,22.16928,22.88456 
1.006,20.03152697,20.40153194,22.81663,23.53190 
1.106,20.03719302,20.23308937,23.81813,24.53341 
0,19.79054255,20.08665795,19.60788,20.32316 
0.105,19.82269923,20.15865329,20.50338,21.21866 
0.206,19.82611637,20.23162968,21.27474,21.99002 
0.306,19.82900291,19.90049221,20.92874,21.64401 
0.406,19.8790261,19.93731304,21.19324,21.90852 
0.505,19.80920132,20.22879975,20.95699,21.67227 
0.605,19.78678602,19.90772933,20.03187,20.74714 
0.705,19.82512633,19.68974342,20.23903,20.95431 
0.805,19.86322874,19.93957577,20.89036,21.60564 
0.905,19.88289518,20.29413228,20.91660,21.63188 
1.005,19.84734911,20.30360792,20.65482,21.37010 
1.106,19.75878898,19.85277633,20.00810,20.72338 
1.205,19.88320294,19.96432251,19.97653,20.69181 
1.306,19.9129267,20.17582071,21.51202,22.22730 
1.405,19.79381701,20.16946703,21.08475,21.80002 
1.505,19.78615658,20.27135104,19.93981,20.65509 
1.604,19.83087439,20.19531211,20.95735,21.67263 
1.705,19.85777311,20.02644532,21.52529,22.24057 
1.806,19.78859847,19.97983349,21.19263,21.90790 
1.905,19.77939773,19.97916415,20.49186,21.20714 
2.005,19.91899359,20.02110547,20.78572,21.50100 
2.105,19.91424067,20.33765296,21.85441,22.56969 
2.206,19.84741581,20.09003503,21.25036,21.96564 
2.304,19.82105813,19.84546424,20.31681,21.03209 
2.405,19.8640347,20.21270609,20.11549,20.83077 
2.505,19.91642082,20.31581017,20.64038,21.35566 
2.606,19.94931999,20.18514278,21.23708,21.95236 
2.705,19.89332506,19.99767681,21.15774,21.87302 
2.806,19.85663419,20.03341131,20.27055,20.98583 
2.905,19.94446837,20.22213665,20.42253,21.13781 
3.006,19.85263998,20.06791231,20.70758,21.42286 
3.104,19.89031725,20.01029663,19.80979,20.52507 
3.205,19.97567868,20.23224685,20.89375,21.60903 
3.306,19.91830502,20.23705335,21.57179,22.28707 
3.405,19.89574896,20.06234296,20.02314,20.73841 
3.505,19.86750606,19.88432762,19.58338,20.29866 
3.605,19.89810691,19.89331496,20.34625,21.06153 
3.705,19.89230913,20.24170228,21.13829,21.85357 
3.804,19.85965717,20.27647459,20.73387,21.44915 
